Unidade;Item;Quantidade;Data Início;Data Fim;Período;Mês;Origem;Arquivo/Referência
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 8/0;1;2026-04-30;2026-04-30;30/04 a 30/04/2026;2026-04;Histórico/Planilha;CT OPERARIA 30 04 2026.ods
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 8/0;1;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT OPERARIA .ods
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 8/0;1;2026-05-28;2026-05-28;28/05 a 28/05/2026;2026-05;Histórico/Planilha;CT OPERARIA 25 05 2026 (1).ods
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 8/0;1;2026-06-15;2026-06-15;15/06 a 15/06/2026;2026-06;Histórico/Planilha;CT OPERARIA 15 06 2026.xlsx
Cidade OperáRia/Cidade OlíMpica;EVA COR LARANJA;2;2026-04-30;2026-04-30;30/04 a 30/04/2026;2026-04;Histórico/Planilha;CT OPERARIA 30 04 2026.ods
Cidade OperáRia/Cidade OlíMpica;EVA COR ROSO;2;2026-04-30;2026-04-30;30/04 a 30/04/2026;2026-04;Histórico/Planilha;CT OPERARIA 30 04 2026.ods
Cidade OperáRia/Cidade OlíMpica;FITA DUREX;1;2026-04-30;2026-04-30;30/04 a 30/04/2026;2026-04;Histórico/Planilha;CT OPERARIA 30 04 2026.ods
Cidade OperáRia/Cidade OlíMpica;FITA DUREX;1;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT OPERARIA .ods
Cidade OperáRia/Cidade OlíMpica;FITA DUREX;1;2026-05-28;2026-05-28;28/05 a 28/05/2026;2026-05;Histórico/Planilha;CT OPERARIA 25 05 2026 (1).ods
Cidade OperáRia/Cidade OlíMpica;GRAMPEADOR PEQUENO;1;2026-06-15;2026-06-15;15/06 a 15/06/2026;2026-06;Histórico/Planilha;CT OPERARIA 15 06 2026.xlsx
Cidade OperáRia/Cidade OlíMpica;GRAMPO PARA GRAMPEADOR;1;2026-05-28;2026-05-28;28/05 a 28/05/2026;2026-05;Histórico/Planilha;CT OPERARIA 25 05 2026 (1).ods
Cidade OperáRia/Cidade OlíMpica;GRAMPO PARA GRAMPEADOR;1;2026-06-15;2026-06-15;15/06 a 15/06/2026;2026-06;Histórico/Planilha;CT OPERARIA 15 06 2026.xlsx
Cidade OperáRia/Cidade OlíMpica;MARCADOR DE TEXTO VARIADO;4;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT OPERARIA .ods
Cidade OperáRia/Cidade OlíMpica;MARCADOR DE TEXTO VARIADO;2;2026-05-28;2026-05-28;28/05 a 28/05/2026;2026-05;Histórico/Planilha;CT OPERARIA 25 05 2026 (1).ods
Cidade OperáRia/Cidade OlíMpica;MARCADOR DE TEXTO VARIADO;4;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT OPERARIA 15 06 2026 (2).ods
Cidade OperáRia/Cidade OlíMpica;PAPEL CARTAO VARIADO;3;2026-04-30;2026-04-30;30/04 a 30/04/2026;2026-04;Histórico/Planilha;CT OPERARIA 30 04 2026.ods
Cidade OperáRia/Cidade OlíMpica;PAPEL CREPOM VARIADO;3;2026-04-30;2026-04-30;30/04 a 30/04/2026;2026-04;Histórico/Planilha;CT OPERARIA 30 04 2026.ods
Cidade OperáRia/Cidade OlíMpica;PASTA SANFONADA;2;2026-04-13;2026-04-13;13/04 a 13/04/2026;2026-04;Histórico/Planilha;CT CIDADE OPERÁRIA .xlsx
Cidade OperáRia/Cidade OlíMpica;POST-IT;1;2026-04-30;2026-04-30;30/04 a 30/04/2026;2026-04;Histórico/Planilha;CT OPERARIA 30 04 2026.ods
Cidade OperáRia/Cidade OlíMpica;POST-IT;1;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT OPERARIA .ods
Cidade OperáRia/Cidade OlíMpica;POST-IT;1;2026-05-28;2026-05-28;28/05 a 28/05/2026;2026-05;Histórico/Planilha;CT OPERARIA 25 05 2026 (1).ods
Cidade OperáRia/Cidade OlíMpica;POST-IT;2;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT OPERARIA 15 06 2026 (2).ods
Cidade OperáRia/Cidade OlíMpica;RESMA DE PAPEL A4;1;2026-04-30;2026-04-30;30/04 a 30/04/2026;2026-04;Histórico/Planilha;CT OPERARIA 30 04 2026.ods
Cidade OperáRia/Cidade OlíMpica;RESMA DE PAPEL A4;1;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT OPERARIA .ods
