Unidade;Item;Quantidade;Data Início;Data Fim;Período;Mês;Origem;Arquivo/Referência
CONSELHO TUTELAR;CLIPS Nº 2/0;1;2026-06-03;2026-06-03;03/06 a 03/06/2026;2026-06;Histórico/Planilha;CT COROADINHO.ods
CONSELHO TUTELAR;CLIPS Nº 4/0;1;2026-06-03;2026-06-03;03/06 a 03/06/2026;2026-06;Histórico/Planilha;CT COROADINHO.ods
CONSELHO TUTELAR;CLIPS Nº 8/0;1;2026-06-03;2026-06-03;03/06 a 03/06/2026;2026-06;Histórico/Planilha;CT COROADINHO.ods
CONSELHO TUTELAR;RESMA DE PAPEL A4;1;2026-06-03;2026-06-03;03/06 a 03/06/2026;2026-06;Histórico/Planilha;CT COROADINHO.ods
Coroadinho/JoãO Paulo;CANETA;5;2026-05-06;2026-05-06;06/05 a 06/05/2026;2026-05;Histórico/Planilha;CT COROADINHO .ods
Coroadinho/JoãO Paulo;CANETA;5;2026-05-13;2026-05-13;13/05 a 13/05/2026;2026-05;Histórico/Planilha;CT COROADINHO .ods
Coroadinho/JoãO Paulo;CANETA;5;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT COROADINHO (2).ods
Coroadinho/JoãO Paulo;CANETA;2;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/JoãO Paulo;CANETAS;5;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT COROADINHO.pdf
Coroadinho/JoãO Paulo;CLIPS GRANDE;1;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT COROADINHO (2).ods
Coroadinho/JoãO Paulo;CLIPS MEDIO;1;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT COROADINHO.pdf
Coroadinho/JoãO Paulo;CLIPS MEDIO;1;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT COROADINHO (2).ods
Coroadinho/JoãO Paulo;CLIPS Nº 2/0;1;2026-05-13;2026-05-13;13/05 a 13/05/2026;2026-05;Histórico/Planilha;CT COROADINHO .ods
Coroadinho/JoãO Paulo;CLIPS Nº 2/0;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/JoãO Paulo;CLIPS Nº 2/0;1;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/JoãO Paulo;CLIPS Nº 2/0;1;2026-07-02;2026-07-02;02/07 a 02/07/2026;2026-07;Histórico/Planilha;CT COROADINHO.ods
Coroadinho/JoãO Paulo;CLIPS Nº 4/0;1;2026-05-06;2026-05-06;06/05 a 06/05/2026;2026-05;Histórico/Planilha;CT COROADINHO .ods
Coroadinho/JoãO Paulo;CLIPS Nº 4/0;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/JoãO Paulo;CLIPS Nº 8/0;1;2026-05-13;2026-05-13;13/05 a 13/05/2026;2026-05;Histórico/Planilha;CT COROADINHO .ods
Coroadinho/JoãO Paulo;CLIPS Nº 8/0;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/JoãO Paulo;CLIPS PEQUENO;1;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT COROADINHO.pdf
Coroadinho/JoãO Paulo;CLIPS PEQUENO;1;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT COROADINHO (2).ods
Coroadinho/JoãO Paulo;ESCARCELA DE PLASTICO FINA;2;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT COROADINHO (2).ods
Coroadinho/JoãO Paulo;ESCARCELA DE PLASTICO FINA;2;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/JoãO Paulo;ESCARCELA DE PLASTICO FINA;2;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/JoãO Paulo;ESCARCELAS DE PLASTICO FINA;3;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT COROADINHO.pdf
Coroadinho/JoãO Paulo;EVA(AZUL,AMARELO,VERDE,VERMELHO, LARANJA,ROSA );5;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT COROADINHO (2).ods
Coroadinho/JoãO Paulo;GRAMPEADOR MEDIO;1;2026-07-02;2026-07-02;02/07 a 02/07/2026;2026-07;Histórico/Planilha;CT COROADINHO.ods
Coroadinho/JoãO Paulo;LAPIS DE CERA;1;2026-05-06;2026-05-06;06/05 a 06/05/2026;2026-05;Histórico/Planilha;CT COROADINHO .ods
Coroadinho/JoãO Paulo;LAPIS DE CERA;2;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT COROADINHO (2).ods
Coroadinho/JoãO Paulo;LAPIS DE CERA;2;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/JoãO Paulo;LAPIS DE CERA;1;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/JoãO Paulo;LAPIS DE CERA;1;2026-07-02;2026-07-02;02/07 a 02/07/2026;2026-07;Histórico/Planilha;CT COROADINHO.ods
Coroadinho/JoãO Paulo;MARCA TEXTO;2;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT COROADINHO.pdf
Coroadinho/JoãO Paulo;MARCA-TEXTO;2;2026-05-06;2026-05-06;06/05 a 06/05/2026;2026-05;Histórico/Planilha;CT COROADINHO .ods
Coroadinho/JoãO Paulo;MARCA-TEXTO;2;2026-05-13;2026-05-13;13/05 a 13/05/2026;2026-05;Histórico/Planilha;CT COROADINHO .ods
Coroadinho/JoãO Paulo;MARCA-TEXTO;2;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT COROADINHO (2).ods
Coroadinho/JoãO Paulo;MARCA-TEXTO;2;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/JoãO Paulo;MARCA-TEXTO;2;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/JoãO Paulo;MARCA-TEXTO;2;2026-07-02;2026-07-02;02/07 a 02/07/2026;2026-07;Histórico/Planilha;CT COROADINHO.ods
Coroadinho/JoãO Paulo;PAPEL A4;1;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT COROADINHO.pdf
Coroadinho/JoãO Paulo;RESMA DE PAPEL A4;1;2026-05-06;2026-05-06;06/05 a 06/05/2026;2026-05;Histórico/Planilha;CT COROADINHO .ods
Coroadinho/JoãO Paulo;RESMA DE PAPEL A4;1;2026-05-13;2026-05-13;13/05 a 13/05/2026;2026-05;Histórico/Planilha;CT COROADINHO .ods
Coroadinho/JoãO Paulo;RESMA DE PAPEL A4;1;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT COROADINHO (2).ods
Coroadinho/JoãO Paulo;RESMA DE PAPEL A4;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/JoãO Paulo;RESMA DE PAPEL A4;1;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/JoãO Paulo;RESMA DE PAPEL A4;1;2026-07-02;2026-07-02;02/07 a 02/07/2026;2026-07;Histórico/Planilha;CT COROADINHO.ods
Itaqui-Bacanga;ALMODADA CARIMBO;1;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;BORRACHA;6;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CT BACANGA.xlsx
Itaqui-Bacanga;BORRACHA;2;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;BORRACHA;3;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;BORRACHA;6;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CT BACANGA .xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CT BACANGA.xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;CANETA AZUL;5;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CANETA MARCADORA;5;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CT BACANGA.xlsx
Itaqui-Bacanga;CANETA MARCADORA;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;CANETA MARCADORA;5;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CANETA MARCADORA;2;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CT BACANGA .xlsx
Itaqui-Bacanga;CANETA PRETA;5;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;CANETA PRETA;5;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CLIPS;1;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;CLIPS;1;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CLIPS Nº 2/0;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;CLIPS Nº 4/0;2;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CT BACANGA.xlsx
Itaqui-Bacanga;CLIPS Nº 6/0;1;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CT BACANGA .xlsx
Itaqui-Bacanga;COLA BRANCA;1;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;COLA BRANCA;1;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;COLA BRANCA;1;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CT BACANGA.xlsx
Itaqui-Bacanga;COLA BRANCA;1;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;COPO DESCARTAVEL PARA CAFE;1;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;COPOS PARA CAFE;1;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;COPOS PARA CAFE;1;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;CORRETIVO;2;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;CORRETIVO;1;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;CORRETIVO;5;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CT BACANGA.xlsx
Itaqui-Bacanga;CORRETIVO;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;CORRETIVO;1;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CORRETIVO;2;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CT BACANGA .xlsx
Itaqui-Bacanga;ENVELOPE;5;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;ENVELOPE;5;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;ENVELOPE;10;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CT BACANGA.xlsx
Itaqui-Bacanga;ENVELOPE;5;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;ENVELOPE;10;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;ENVELOPE;10;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CT BACANGA .xlsx
Itaqui-Bacanga;FITA GOMADA;1;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;FITA GOMADA;1;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;FITA GOMADA;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;FITA GOMADA;1;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;GRAMPEADOR;1;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CT BACANGA .xlsx
Itaqui-Bacanga;PAPEL A4;1;2026-01-01;2026-01-07;? (sem data);2026-01;Histórico/Planilha;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;PAPEL A4;1;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;RESMA DE PAPEL A4;1;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CT BACANGA.xlsx
Itaqui-Bacanga;RESMA DE PAPEL A4;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;RESMA DE PAPEL A4;1;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;RESMA DE PAPEL A4;1;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CT BACANGA .xlsx
Itaqui-Bacanga;TESOURA;2;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CT BACANGA.xlsx
Itaqui-Bacanga;TESOURA;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;TESOURA;1;2026-06-18;2026-06-18;18/06 a 18/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;TESOURA;2;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CT BACANGA .xlsx
Itaqui-Bacanga;TINTA AZUL PARA CARIMBO;1;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;TINTA AZUL PARA CARIMBO;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;TINTA AZUL PARA CARIMBO;1;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CT BACANGA .xlsx
Itaqui-Bacanga;TINTA PRETA PARA CARIMBO;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;TINTA PRETA PARA CARIMBO;1;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CT BACANGA .xlsx
SãO CristóVãO/SãO Raimundo;CANETA AZUL;3;2026-04-28;2026-04-28;28/04 a 28/04/2026;2026-04;Histórico/Planilha;CT SÃO RAIMUNDO .xlsx
SãO CristóVãO/SãO Raimundo;CANETA AZUL;3;2026-05-06;2026-05-06;06/05 a 06/05/2026;2026-05;Histórico/Planilha;CT AO RAIMUNDO.xlsx
SãO CristóVãO/SãO Raimundo;CANETA AZUL;5;2026-06-16;2026-06-16;16/06 a 16/06/2026;2026-06;Histórico/Planilha;CT SÃO RAIMUNDO ENTREGA 16 de JUNHO de 2026.xlsx
SãO CristóVãO/SãO Raimundo;E.V.A VARIA COR;8;2026-06-16;2026-06-16;16/06 a 16/06/2026;2026-06;Histórico/Planilha;CT SÃO RAIMUNDO ENTREGA 16 de JUNHO de 2026.xlsx
SãO CristóVãO/SãO Raimundo;E.V.A VARIA CORE;2;2026-04-28;2026-04-28;28/04 a 28/04/2026;2026-04;Histórico/Planilha;CT SÃO RAIMUNDO .xlsx
SãO CristóVãO/SãO Raimundo;FITA GOMADA;1;2026-06-16;2026-06-16;16/06 a 16/06/2026;2026-06;Histórico/Planilha;CT SÃO RAIMUNDO ENTREGA 16 de JUNHO de 2026.xlsx
SãO CristóVãO/SãO Raimundo;MARCADOR DE TEXTO;2;2026-06-16;2026-06-16;16/06 a 16/06/2026;2026-06;Histórico/Planilha;CT SÃO RAIMUNDO ENTREGA 16 de JUNHO de 2026.xlsx
SãO CristóVãO/SãO Raimundo;RESMA DE PAPEL A4;1;2026-04-28;2026-04-28;28/04 a 28/04/2026;2026-04;Histórico/Planilha;CT SÃO RAIMUNDO .xlsx
SãO CristóVãO/SãO Raimundo;RESMA DE PAPEL A4;1;2026-05-06;2026-05-06;06/05 a 06/05/2026;2026-05;Histórico/Planilha;CT AO RAIMUNDO.xlsx
SãO CristóVãO/SãO Raimundo;RESMA DE PAPEL A4;1;2026-06-16;2026-06-16;16/06 a 16/06/2026;2026-06;Histórico/Planilha;CT SÃO RAIMUNDO ENTREGA 16 de JUNHO de 2026.xlsx
SãO Francisco/Cohama;APAGADOR PARA QUADRO BRANCO;1;2026-05-14;2026-05-14;14/05 a 14/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;APAGADOR PARA QUADRO BRANCO;1;2026-05-20;2026-05-20;20/05 a 20/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;APAGADOR PARA QUADRO BRANCO;1;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT SÃO FRANCISCO (3).ods
SãO Francisco/Cohama;CANETA AZUL;5;2026-04-22;2026-04-22;22/04 a 22/04/2026;2026-04;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;CANETA AZUL;5;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
SãO Francisco/Cohama;CANETA AZUL;5;2026-06-17;2026-06-17;17/06 a 17/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
SãO Francisco/Cohama;CANETA PARA TECIDO;2;2026-05-20;2026-05-20;20/05 a 20/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;CANETA PARA TECIDO;2;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT SÃO FRANCISCO (3).ods
SãO Francisco/Cohama;CANETAS AZUIS;5;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT FranciscoCohama.ods
SãO Francisco/Cohama;CLIPS;2;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT FranciscoCohama.ods
SãO Francisco/Cohama;CLIPS;1;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT SÃO FRANCISCO (3).ods
SãO Francisco/Cohama;CLIPS Nº 2/0;2;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
SãO Francisco/Cohama;CLIPS Nº 2/0;2;2026-06-17;2026-06-17;17/06 a 17/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
SãO Francisco/Cohama;CLIPS Nº 2/0;1;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA ENTREGA DIA 24 de junho de 2026.ods
SãO Francisco/Cohama;CLIPS Nº 3/0;1;2026-04-22;2026-04-22;22/04 a 22/04/2026;2026-04;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;CLIPS Nº 4/0;1;2026-04-22;2026-04-22;22/04 a 22/04/2026;2026-04;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;CLIPS Nº 4/0;1;2026-05-14;2026-05-14;14/05 a 14/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;CLIPS Nº 4/0;1;2026-05-20;2026-05-20;20/05 a 20/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;CLIPS Nº 6/0;1;2026-04-22;2026-04-22;22/04 a 22/04/2026;2026-04;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;CLIPS Nº 8/0;1;2026-04-22;2026-04-22;22/04 a 22/04/2026;2026-04;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;ENVELOPE A4;5;2026-04-22;2026-04-22;22/04 a 22/04/2026;2026-04;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;ENVELOPE A4;5;2026-04-29;2026-04-29;29/04 a 29/04/2026;2026-04;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;ENVELOPE A4;10;2026-05-14;2026-05-14;14/05 a 14/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;ENVELOPE A4;10;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT SÃO FRANCISCO (3).ods
SãO Francisco/Cohama;ENVELOPE A4;5;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
SãO Francisco/Cohama;ENVELOPE A4;10;2026-06-17;2026-06-17;17/06 a 17/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
SãO Francisco/Cohama;ENVELOPE A4;10;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA ENTREGA DIA 24 de junho de 2026.ods
SãO Francisco/Cohama;ENVELOPE A4;5;2026-07-02;2026-07-02;02/07 a 02/07/2026;2026-07;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;ENVELOPES A4;10;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT FranciscoCohama.ods
SãO Francisco/Cohama;ESCARCELA;2;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT SÃO FRANCISCO (3).ods
SãO Francisco/Cohama;ESCARCELA;2;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
SãO Francisco/Cohama;ESCARCELA;2;2026-06-17;2026-06-17;17/06 a 17/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
SãO Francisco/Cohama;ESCARCELA;2;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA ENTREGA DIA 24 de junho de 2026.ods
SãO Francisco/Cohama;LAPIS;5;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
SãO Francisco/Cohama;LAPIS;5;2026-06-17;2026-06-17;17/06 a 17/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
SãO Francisco/Cohama;LAPIS;5;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA ENTREGA DIA 24 de junho de 2026.ods
SãO Francisco/Cohama;MARCADOR PARA QUADRO BRANCO;2;2026-05-14;2026-05-14;14/05 a 14/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;MARCADOR PARA QUADRO BRANCO;2;2026-05-20;2026-05-20;20/05 a 20/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCO.ods
