Conselho Tutelar;Item;Quantidade;Data (AAAA-MM-DD);Data (DD/MM/AAAA);Período;Mês;Arquivo
Cidade Operária/Cidade Olímpica;EVA COR LARANJA;2;2026-04-30;30/04/2026;30/04 a 30/04/2026;2026-04;CT OPERARIA 30 04 2026.ods
Cidade Operária/Cidade Olímpica;EVA COR ROSO;2;2026-04-30;30/04/2026;30/04 a 30/04/2026;2026-04;CT OPERARIA 30 04 2026.ods
Cidade Operária/Cidade Olímpica;FITA DUREX;1;2026-04-30;30/04/2026;30/04 a 30/04/2026;2026-04;CT OPERARIA 30 04 2026.ods
Cidade Operária/Cidade Olímpica;FITA DUREX;1;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT OPERARIA .ods
Cidade Operária/Cidade Olímpica;FITA DUREX;1;2026-05-28;28/05/2026;28/05 a 28/05/2026;2026-05;CT OPERARIA 25 05 2026 (1).ods
Cidade Operária/Cidade Olímpica;GRAMPEADOR PEQUENO;1;2026-06-15;15/06/2026;15/06 a 15/06/2026;2026-06;CT OPERARIA 15 06 2026.xlsx
Cidade Operária/Cidade Olímpica;GRAMPO PARA GRAMPEADOR;1;2026-05-28;28/05/2026;28/05 a 28/05/2026;2026-05;CT OPERARIA 25 05 2026 (1).ods
Cidade Operária/Cidade Olímpica;GRAMPO PARA GRAMPEADOR;1;2026-06-15;15/06/2026;15/06 a 15/06/2026;2026-06;CT OPERARIA 15 06 2026.xlsx
Cidade Operária/Cidade Olímpica;MARCADOR DE TEXTO VARIADO;4;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT OPERARIA .ods
Cidade Operária/Cidade Olímpica;MARCADOR DE TEXTO VARIADO;2;2026-05-28;28/05/2026;28/05 a 28/05/2026;2026-05;CT OPERARIA 25 05 2026 (1).ods
Cidade Operária/Cidade Olímpica;MARCADOR DE TEXTO VARIADO;4;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT OPERARIA 15 06 2026 (2).ods
Cidade Operária/Cidade Olímpica;PAPEL CARTAO VARIADO;3;2026-04-30;30/04/2026;30/04 a 30/04/2026;2026-04;CT OPERARIA 30 04 2026.ods
Cidade Operária/Cidade Olímpica;PAPEL CREPOM VARIADO;3;2026-04-30;30/04/2026;30/04 a 30/04/2026;2026-04;CT OPERARIA 30 04 2026.ods
Cidade Operária/Cidade Olímpica;PASTA SANFONADA;2;2026-04-13;13/04/2026;13/04 a 13/04/2026;2026-04;CT CIDADE OPERÁRIA .xlsx
Cidade Operária/Cidade Olímpica;POST-IT;1;2026-04-30;30/04/2026;30/04 a 30/04/2026;2026-04;CT OPERARIA 30 04 2026.ods
Cidade Operária/Cidade Olímpica;POST-IT;1;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT OPERARIA .ods
Cidade Operária/Cidade Olímpica;POST-IT;1;2026-05-28;28/05/2026;28/05 a 28/05/2026;2026-05;CT OPERARIA 25 05 2026 (1).ods
Cidade Operária/Cidade Olímpica;POST-IT;2;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT OPERARIA 15 06 2026 (2).ods
Cidade Operária/Cidade Olímpica;RESMA DE PAPEL A4;1;2026-04-30;30/04/2026;30/04 a 30/04/2026;2026-04;CT OPERARIA 30 04 2026.ods
Cidade Operária/Cidade Olímpica;RESMA DE PAPEL A4;1;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT OPERARIA .ods
Cidade Operária/Cidade Olímpica;RESMA DE PAPEL A4;1;2026-05-28;28/05/2026;28/05 a 28/05/2026;2026-05;CT OPERARIA 25 05 2026 (1).ods
Cidade Operária/Cidade Olímpica;RESMA DE PAPEL A4;2;2026-06-15;15/06/2026;15/06 a 15/06/2026;2026-06;CT OPERARIA 15 06 2026.xlsx
Cidade Operária/Cidade Olímpica;RESMA DE PAPEL A4;1;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT OPERARIA 15 06 2026 (2).ods
Cidade Operária/Cidade Olímpica;RESMA PAPEL A4;1;2026-04-13;13/04/2026;13/04 a 13/04/2026;2026-04;CT CIDADE OPERÁRIA .xlsx
Cohab/Cohatrac;CANETA AZUL;5;2026-04-23;23/04/2026;23/04 a 23/04/2026;2026-04;CT COHAB ).xlsx
Cohab/Cohatrac;CANETA AZUL;5;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT COHAB .xlsx
Cohab/Cohatrac;CANETA AZUL;3;2026-05-26;26/05/2026;26/05 a 26/05/2026;2026-05;CT COHAB  (1).xlsx
Cohab/Cohatrac;CANETA AZUL;5;2026-06-09;09/06/2026;09/06 a 09/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;CANETA AZUL E PRETA;5;2026-04-14;14/04/2026;14/04 a 14/04/2026;2026-04;CT COHAB  (2).xlsx
Cohab/Cohatrac;CANETA PRETA;5;2026-04-23;23/04/2026;23/04 a 23/04/2026;2026-04;CT COHAB ).xlsx
Cohab/Cohatrac;CANETA PRETA;5;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT COHAB .xlsx
Cohab/Cohatrac;CANETA PRETA;3;2026-05-26;26/05/2026;26/05 a 26/05/2026;2026-05;CT COHAB  (1).xlsx
Cohab/Cohatrac;CANETA PRETA;5;2026-06-09;09/06/2026;09/06 a 09/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;CHAMEX;1;2026-04-14;14/04/2026;14/04 a 14/04/2026;2026-04;CT COHAB  (2).xlsx
Cohab/Cohatrac;CLIPS 04;1;2026-04-14;14/04/2026;14/04 a 14/04/2026;2026-04;CT COHAB  (2).xlsx
Cohab/Cohatrac;CLIPS 08;1;2026-04-14;14/04/2026;14/04 a 14/04/2026;2026-04;CT COHAB  (2).xlsx
Cohab/Cohatrac;CLIPS Nº 4/0;1;2026-05-26;26/05/2026;26/05 a 26/05/2026;2026-05;CT COHAB  (1).xlsx
Cohab/Cohatrac;CLIPS Nº 4/0;1;2026-06-09;09/06/2026;09/06 a 09/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;CLIPS Nº 4/0;1;2026-06-22;22/06/2026;22/06 a 22/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;CLIPS Nº 8/0;1;2026-04-23;23/04/2026;23/04 a 23/04/2026;2026-04;CT COHAB ).xlsx
Cohab/Cohatrac;CLIPS Nº 8/0;1;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT COHAB .xlsx
Cohab/Cohatrac;CLIPS Nº 8/0;1;2026-06-09;09/06/2026;09/06 a 09/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;CLIPS Nº 8/0;1;2026-06-22;22/06/2026;22/06 a 22/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;CORRETIVO;1;2026-04-14;14/04/2026;14/04 a 14/04/2026;2026-04;CT COHAB  (2).xlsx
Cohab/Cohatrac;CORRETIVO;1;2026-04-23;23/04/2026;23/04 a 23/04/2026;2026-04;CT COHAB ).xlsx
Cohab/Cohatrac;CORRETIVO;2;2026-06-09;09/06/2026;09/06 a 09/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;CORRETIVO;2;2026-06-22;22/06/2026;22/06 a 22/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;ESCARCELA;3;2026-04-14;14/04/2026;14/04 a 14/04/2026;2026-04;CT COHAB  (2).xlsx
Cohab/Cohatrac;ESCARCELA;2;2026-06-09;09/06/2026;09/06 a 09/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;ESCARCELA;2;2026-06-22;22/06/2026;22/06 a 22/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;FITA DUREX;1;2026-04-23;23/04/2026;23/04 a 23/04/2026;2026-04;CT COHAB ).xlsx
